epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_min_grounded,eta_max_grounded
0,0.028606801058811204,-14.668498789570362,0.0018348272319100693,0.0,-14.63805716127964,-14.668498789570362,nan,7.129276570600641e-05,0.001763534466204064,0.030053780947161508,-14.772132692122078,0.003591787158328942,0.0,-14.738487124016586,-14.772132692122078,nan,0.0,0.4694102334036285,0.0,0.9154928815336366,0.0,362.0,0.0,,0.0002999920495579992,,,0.2875408321173857,-0.054101989866654224,0.342251656023657,0.806936263899092,10.857496500909033,15.037234792103117,1,9.386219579682908,12.559647185296901,inf,-inf,-0.1527658508753489,0.42885868191038495,-0.2696939785698625,0.29763011411847956,inf,-inf,1.8939103845578251,0.09390206964775892,0.09390206964775892,0.09390206964775892,784,3.840543260350336,1.9588166433479255,2.0283677999000864,1.0,1.0,-0.09235770826770748,10.87425830641628,0.347250130365288,1.3380943284645808,0.1264867299397764,0.0,0.0,10.843878114312673,10.863255429379272,9.386219579682908,12.559647185296901
1,0.028600035238141763,-14.839422569444412,0.0040051524754954534,0.0,-14.806817381730776,-14.839422569444412,nan,0.0003961402836447103,0.0036090121918507393,0.030053780947161508,-14.772132692122078,0.003591787158328942,0.0,-14.738487124016586,-14.772132692122078,nan,0.0,0.2548428320455707,0.0,0.5668210971854981,0.0,362.0,0.0,,0.00029996819910385256,,,0.2875408321173857,-0.054101989866654224,0.342251656023657,0.806936263899092,10.857496500909033,15.037234792103117,1,9.386219579682908,12.559647185296901,inf,-inf,-0.11129503864670057,0.33053622404268873,-0.17404501997353677,0.23138134524280987,inf,-inf,1.8769132823493688,0.09484533597942954,0.09484533597942954,0.09484533597942954,784,3.840543260350336,1.9588166433479255,2.0283677999000864,1.0,1.0,-0.09235770826770748,10.87425830641628,0.347250130365288,1.3380943284645808,0.1264867299397764,0.0,0.0,10.843878114312673,10.863255429379272,9.386219579682908,12.559647185296901
2,0.028588731946841507,-14.918827411831899,0.004330761324964156,0.0,-14.885907918560093,-14.918827411831899,nan,0.0008972454204532839,0.003433515904510873,0.030053780947161508,-14.772132692122078,0.003591787158328942,0.0,-14.738487124016586,-14.772132692122078,nan,0.0,0.17651741463980564,0.0,0.40335185948857655,0.0,362.0,0.0,,0.000299928451253031,,,0.2875408321173857,-0.054101989866654224,0.342251656023657,0.806936263899092,10.857496500909033,15.037234792103117,1,9.386219579682908,12.559647185296901,inf,-inf,-0.09053881921088049,0.26383589805606494,-0.15594489784915858,0.18692454093311853,inf,-inf,1.8731087447257306,0.09495953968559166,0.09495953968559166,0.09495953968559166,784,3.840543260350336,1.9588166433479255,2.0283677999000864,1.0,1.0,-0.09235770826770748,10.87425830641628,0.347250130365288,1.3380943284645808,0.1264867299397764,0.0,0.0,10.843878114312673,10.863255429379272,9.386219579682908,12.559647185296901
3,0.02860012878373592,-14.967340869397699,0.004564655404367889,0.0,-14.934176085209595,-14.967340869397699,nan,0.0015041449043885855,0.0030605104999793017,0.030053780947161508,-14.772132692122078,0.003591787158328942,0.0,-14.738487124016586,-14.772132692122078,nan,0.0,0.13251803729137282,0.0,0.3026188244759228,0.0,362.0,0.0,,0.0002998728103643344,,,0.2875408321173857,-0.054101989866654224,0.342251656023657,0.806936263899092,10.857496500909033,15.037234792103117,1,9.386219579682908,12.559647185296901,inf,-inf,-0.07401482558748546,0.22118943607264654,-0.13534332983928124,0.16053523005469383,inf,-inf,1.86806673791011,0.09507591550955433,0.09507591550955433,0.09507591550955433,784,3.840543260350336,1.9588166433479255,2.0283677999000864,1.0,1.0,-0.09235770826770748,10.87425830641628,0.347250130365288,1.3380943284645808,0.1264867299397764,0.0,0.0,10.843878114312673,10.863255429379272,9.386219579682908,12.559647185296901
4,0.028605572799915737,-15.000128763874855,0.005045649195770979,0.0,-14.966477541879167,-15.000128763874855,nan,0.0021867523713921056,0.0028588968243788765,0.030053780947161508,-14.772132692122078,0.003591787158328942,0.0,-14.738487124016586,-14.772132692122078,nan,0.0,0.1006966042310744,0.0,0.23392763495777452,0.0,362.0,0.0,,0.00029980128253941313,,,0.2875408321173857,-0.054101989866654224,0.342251656023657,0.806936263899092,10.857496500909033,15.037234792103117,1,9.386219579682908,12.559647185296901,inf,-inf,-0.06587577233920656,0.18401162913973138,-0.12067057580918374,0.13891011658571475,inf,-inf,1.863786121353527,0.09497429042359654,0.09497429042359654,0.09497429042359654,784,3.840543260350336,1.9588166433479255,2.0283677999000864,1.0,1.0,-0.09235770826770748,10.87425830641628,0.347250130365288,1.3380943284645808,0.1264867299397764,0.0,0.0,10.843878114312673,10.863255429379272,9.386219579682908,12.559647185296901
5,0.028602874601994132,-15.023466115642458,0.0055810322949042725,0.0,-14.98928220874556,-15.023466115642458,nan,0.0029163685569030865,0.0026646637380011813,0.030053780947161508,-15.031342270633546,0.005855181391681574,0.0,-14.995433308294704,-15.031342270633546,nan,0.0,0.07893530603205329,0.0,0.18460772203061046,0.0,362.0,0.0,,0.0002997138756220993,,,0.3289757202820094,-0.19217043234784348,0.519742752247033,0.5699726781446026,7.93496398652213,15.037234792103117,1,5.792090205067585,10.325531569659912,inf,-inf,-0.06358537753707207,0.16181297036689443,-0.10935597451801495,0.12160767725624921,inf,-inf,1.856498009211446,0.09483056598613238,0.09483056598613238,0.09483056598613238,784,3.412164445910119,1.843729802532408,1.9710576532513122,1.0,1.0,-0.3968832106759427,8.026071023251781,0.7705289585163487,1.782695228162357,0.2510771019858078,0.0,0.0,7.875887768990145,8.033792583074725,5.792090205067585,10.325531569659912
6,0.028603618733163288,-15.040844375883582,0.006181583761608126,0.0,-15.006059173388811,-15.040844375883582,nan,0.003667822227212835,0.002513761534395289,0.030053780947161508,-15.031342270633546,0.005855181391681574,0.0,-14.995433308294704,-15.031342270633546,nan,0.0,0.06411139636781785,0.0,0.14748993139472932,0.0,362.0,0.0,,0.0002996105991975463,,,0.3289757202820094,-0.19217043234784348,0.519742752247033,0.5699726781446026,7.93496398652213,15.037234792103117,1,5.792090205067585,10.325531569659912,inf,-inf,-0.05953141810682942,0.14388777566603425,-0.09758608417169322,0.10721344891307842,inf,-inf,1.846151670466852,0.09471378320403408,0.09471378320403408,0.09471378320403408,784,3.412164445910119,1.843729802532408,1.9710576532513122,1.0,1.0,-0.3968832106759427,8.026071023251781,0.7705289585163487,1.782695228162357,0.2510771019858078,0.0,0.0,7.875887768990145,8.033792583074725,5.792090205067585,10.325531569659912
7,0.02860392621361605,-15.054247740886078,0.0068528451370155445,0.0,-15.018790969535447,-15.054247740886078,nan,0.004438295245759678,0.0024145498912558606,0.030053780947161508,-15.031342270633546,0.005855181391681574,0.0,-14.995433308294704,-15.031342270633546,nan,0.0,0.05274741440049859,0.0,0.1185930047568716,0.0,362.0,0.0,,0.000299491464591178,,,0.3289757202820094,-0.19217043234784348,0.519742752247033,0.5699726781446026,7.93496398652213,15.037234792103117,1,5.792090205067585,10.325531569659912,inf,-inf,-0.05509714092675358,0.1279854739301944,-0.0875250571690623,0.09754497985092306,inf,-inf,1.833832448161332,0.09448239444867933,0.09448239444867933,0.09448239444867933,784,3.412164445910119,1.843729802532408,1.9710576532513122,1.0,1.0,-0.3968832106759427,8.026071023251781,0.7705289585163487,1.782695228162357,0.2510771019858078,0.0,0.0,7.875887768990145,8.033792583074725,5.792090205067585,10.325531569659912
8,0.028605639352259463,-15.06468129690443,0.007530048938950521,0.0,-15.028545608613221,-15.06468129690443,nan,0.005206831749106258,0.0023232171898442612,0.030053780947161508,-15.031342270633546,0.005855181391681574,0.0,-14.995433308294704,-15.031342270633546,nan,0.0,0.04380236779833633,0.0,0.09585045516170788,0.0,362.0,0.0,,0.00029935648486744646,,,0.3289757202820094,-0.19217043234784348,0.519742752247033,0.5699726781446026,7.93496398652213,15.037234792103117,1,5.792090205067585,10.325531569659912,inf,-inf,-0.05266981703009727,0.1151675369166024,-0.08068580040566242,0.08994966006825894,inf,-inf,1.8180557923003007,0.09420305036782882,0.09420305036782882,0.09420305036782882,784,3.412164445910119,1.843729802532408,1.9710576532513122,1.0,1.0,-0.3968832106759427,8.026071023251781,0.7705289585163487,1.782695228162357,0.2510771019858078,0.0,0.0,7.875887768990145,8.033792583074725,5.792090205067585,10.325531569659912
9,0.02860566533506059,-15.073056853904205,0.008233996453165351,0.0,-15.036217192115979,-15.073056853904205,nan,0.005971960886647232,0.0022620355665181092,0.030053780947161508,-15.031342270633546,0.005855181391681574,0.0,-14.995433308294704,-15.031342270633546,nan,0.0,0.0364884082936404,0.0,0.07743321523986979,0.0,362.0,0.0,,0.00029920567482839947,,,0.3289757202820094,-0.19217043234784348,0.519742752247033,0.5699726781446026,7.93496398652213,15.037234792103117,1,5.792090205067585,10.325531569659912,inf,-inf,-0.04998574377469749,0.10256138177091709,-0.07373575210217347,0.08045551330559618,inf,-inf,1.8022567456949774,0.09371172747292802,0.09371172747292802,0.09371172747292802,784,3.412164445910119,1.843729802532408,1.9710576532513122,1.0,1.0,-0.3968832106759427,8.026071023251781,0.7705289585163487,1.782695228162357,0.2510771019858078,0.0,0.0,7.875887768990145,8.033792583074725,5.792090205067585,10.325531569659912
