epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_min_grounded,eta_max_grounded
0,1.860166640256493,13262.12373973569,0.002369120245898978,0.0,13263.986275496194,13262.12373973569,nan,1.8615262935361857e-06,0.002367258719605442,1.920822918985497,10978.425773618557,0.0068844389842485625,0.0,10980.353480976528,10978.425773618557,nan,0.0,8017.11210803538,0.0,26531.37474925032,0.0,46.0,0.0,,0.0002999920495579992,,,,,,,14.745330102898995,,1,14.519986353322224,15.024676510428577,inf,-inf,-26.126352896960082,26.12231574179565,-28.301264071447537,32.141878461001156,inf,-inf,1.9735658838260595,0.178986916714472,0.178986916714472,0.178986916714472,784,3.9608309665367125,1.9901094062781026,2.013390945539459,,,-0.01379906851337994,14.736410019872103,0.08406406991840826,1.034758307950536,0.014838921985181441,0.0,0.0,14.74999856120858,14.737394789337632,14.560631569226832,15.024676510428577
1,1.8720176267197468,11697.881454868557,0.017040777023214472,0.0,11699.7705132723,11697.881454868557,nan,1.333771279674387e-05,0.017027439310417725,1.920822918985497,10978.425773618557,0.0068844389842485625,0.0,10980.353480976528,10978.425773618557,nan,0.0,6891.327383461345,0.0,23404.232981940968,0.0,46.0,0.0,,0.00029996819910385256,,,,,,,14.745330102898995,,1,14.519986353322224,15.024676510428577,inf,-inf,-25.243394187490498,24.188995255342824,-27.312109806711245,29.623290981832035,inf,-inf,1.9474098150242212,0.1814975002903608,0.1814975002903608,0.1814975002903608,784,3.9608309665367125,1.9901094062781026,2.013390945539459,,,-0.01379906851337994,14.736410019872103,0.08406406991840826,1.034758307950536,0.014838921985181441,0.0,0.0,14.74999856120858,14.737394789337632,14.560631569226832,15.024676510428577
2,1.8678511306683985,10340.30963131147,0.046560098787218396,0.0,10342.224042540924,10340.30963131147,nan,3.651582412420844e-05,0.0465235829630942,1.920822918985497,10978.425773618557,0.0068844389842485625,0.0,10980.353480976528,10978.425773618557,nan,0.0,6048.901366121328,0.0,20690.53324696234,0.0,46.0,0.0,,0.000299928451253031,,,,,,,14.745330102898995,,1,14.519986353322224,15.024676510428577,inf,-inf,-24.120496842028967,22.213921481863228,-25.09015094645793,27.890918992137177,inf,-inf,1.9224181444496955,0.18401999950066875,0.18401999950066875,0.18401999950066875,784,3.9608309665367125,1.9901094062781026,2.013390945539459,,,-0.01379906851337994,14.736410019872103,0.08406406991840826,1.034758307950536,0.014838921985181441,0.0,0.0,14.74999856120858,14.737394789337632,14.560631569226832,15.024676510428577
3,1.8593858370156924,9162.528887443767,0.08598154466582279,0.0,9164.474254825447,9162.528887443767,nan,7.152507370000877e-05,0.08591001959212281,1.920822918985497,10978.425773618557,0.0068844389842485625,0.0,10980.353480976528,10978.425773618557,nan,0.0,5243.163939229305,0.0,18336.40947809725,0.0,46.0,0.0,,0.0002998728103643344,,,,,,,14.745330102898995,,1,14.519986353322224,15.024676510428577,inf,-inf,-23.602314882058433,21.350351265835048,-22.95882436724641,25.70494564769247,inf,-inf,1.8980336824858328,0.1865846735067925,0.1865846735067925,0.1865846735067925,784,3.9608309665367125,1.9901094062781026,2.013390945539459,,,-0.01379906851337994,14.736410019872103,0.08406406991840826,1.034758307950536,0.014838921985181441,0.0,0.0,14.74999856120858,14.737394789337632,14.560631569226832,15.024676510428577
4,1.862471106251207,8139.273116857137,0.12934623390982947,0.0,8141.264934197298,8139.273116857137,nan,0.0001187023800231545,0.12922753152980632,1.920822918985497,10978.425773618557,0.0068844389842485625,0.0,10980.353480976528,10978.425773618557,nan,0.0,4616.697825619719,0.0,16291.32103465103,0.0,46.0,0.0,,0.00029980128253941313,,,,,,,14.745330102898995,,1,14.519986353322224,15.024676510428577,inf,-inf,-22.660688374602515,20.824923340351592,-20.893682651496963,23.54748577523569,inf,-inf,1.8744639291491871,0.18914202050818693,0.18914202050818693,0.18914202050818693,784,3.9608309665367125,1.9901094062781026,2.013390945539459,,,-0.01379906851337994,14.736410019872103,0.08406406991840826,1.034758307950536,0.014838921985181441,0.0,0.0,14.74999856120858,14.737394789337632,14.560631569226832,15.024676510428577
5,1.8845404536419457,7266.0525788912455,0.17406320982577556,0.0,7268.111182554713,7266.0525788912455,nan,0.00017729697917738446,0.17388591284659816,1.920822918985497,6441.5363035690625,0.19635619168954288,0.0,6443.653482679737,6441.5363035690625,nan,0.0,4065.7415572087352,0.0,14546.278137308345,0.0,46.0,0.0,,0.0002997138756220993,,,,,,,13.505473456555197,,1,12.58506028506236,15.031077750794795,inf,-inf,-21.86733606899413,20.026153927636038,-19.30339035260246,21.255407501332364,inf,-inf,1.8523624300207615,0.19163486734367066,0.19163486734367066,0.19163486734367066,784,3.8284494459350245,1.9536679676471034,2.091434722519376,,,-0.08274575924327784,13.447570315636195,0.3910598715473707,1.1943588199283954,0.0771348210178957,0.0,0.0,13.533923512481472,13.437807691033711,12.73966714372658,15.031077750794795
6,1.8713849417786523,6506.862511674137,0.2178586237212485,0.0,6508.951755239637,6506.862511674137,nan,0.0002487783582217916,0.21760984536302672,1.920822918985497,6441.5363035690625,0.19635619168954288,0.0,6443.653482679737,6441.5363035690625,nan,0.0,3568.550579766153,0.0,13029.169130575585,0.0,46.0,0.0,,0.0002996105991975463,,,,,,,13.505473456555197,,1,12.58506028506236,15.031077750794795,inf,-inf,-20.890686593529214,19.278688006523414,-17.508837279642915,20.435736654174118,inf,-inf,1.830392479273343,0.1942281320381761,0.1942281320381761,0.1942281320381761,784,3.8284494459350245,1.9536679676471034,2.091434722519376,,,-0.08274575924327784,13.447570315636195,0.3910598715473707,1.1943588199283954,0.0771348210178957,0.0,0.0,13.533923512481472,13.437807691033711,12.73966714372658,15.031077750794795
7,1.869003642192762,5861.627915499709,0.26190700731345645,0.0,5863.758826149216,5861.627915499709,nan,0.0003327407552277936,0.2615742665582287,1.920822918985497,6441.5363035690625,0.19635619168954288,0.0,6443.653482679737,6441.5363035690625,nan,0.0,3112.316518509529,0.0,11739.782648494747,0.0,46.0,0.0,,0.000299491464591178,,,,,,,13.505473456555197,,1,12.58506028506236,15.031077750794795,inf,-inf,-20.06069669946145,18.405178091602362,-16.83556851124336,18.855587494166894,inf,-inf,1.8094436416534008,0.1968403799015557,0.1968403799015557,0.1968403799015557,784,3.8284494459350245,1.9536679676471034,2.091434722519376,,,-0.08274575924327784,13.447570315636195,0.3910598715473707,1.1943588199283954,0.0771348210178957,0.0,0.0,13.533923512481472,13.437807691033711,12.73966714372658,15.031077750794795
8,1.8704740170743945,5298.592035951015,0.3016020095097205,0.0,5300.764111977599,5298.592035951015,nan,0.000429815309618456,0.301172194200102,1.920822918985497,6441.5363035690625,0.19635619168954288,0.0,6443.653482679737,6441.5363035690625,nan,0.0,2807.937111309229,0.0,10614.735872238745,0.0,46.0,0.0,,0.00029935648486744646,,,,,,,13.505473456555197,,1,12.58506028506236,15.031077750794795,inf,-inf,-19.37136465952535,18.686130474061915,-16.009286243736465,17.882007605127907,inf,-inf,1.7892289469305365,0.19943237087004864,0.19943237087004864,0.19943237087004864,784,3.8284494459350245,1.9536679676471034,2.091434722519376,,,-0.08274575924327784,13.447570315636195,0.3910598715473707,1.1943588199283954,0.0771348210178957,0.0,0.0,13.533923512481472,13.437807691033711,12.73966714372658,15.031077750794795
9,1.8703329332929868,4816.755025105158,0.3411634867477389,0.0,4818.966521525199,4816.755025105158,nan,0.0005389757260701234,0.3406245110216688,1.920822918985497,6441.5363035690625,0.19635619168954288,0.0,6443.653482679737,6441.5363035690625,nan,0.0,2459.624985323594,0.0,9651.931701608442,0.0,46.0,0.0,,0.00029920567482839947,,,,,,,13.505473456555197,,1,12.58506028506236,15.031077750794795,inf,-inf,-18.079141083269235,18.973352469188043,-15.38078426882576,17.047199105724935,inf,-inf,1.7695729565854847,0.2019705833773482,0.2019705833773482,0.2019705833773482,784,3.8284494459350245,1.9536679676471034,2.091434722519376,,,-0.08274575924327784,13.447570315636195,0.3910598715473707,1.1943588199283954,0.0771348210178957,0.0,0.0,13.533923512481472,13.437807691033711,12.73966714372658,15.031077750794795
